question,reference_chunk_id,intent
How do I delete my Amazon account permanently?,request_the_closure_of_your_account_and_the_deletion_of_001,manage_account_closure
Can I use switch accounts to log in to my other account?,use_switch_accounts_001,manage_account_profiles_devices
How do I log out of the Amazon app on my iPhone?,sign_out_of_your_amazon_account_in_the_amazon_shopping_001,manage_account_profiles_devices
What is a mobile phone number account?,what_are_mobile_phone_number_accounts_001,manage_account_profiles_devices
How do I verify my email address for a new account?,verify_your_email_for_a_new_account_001,manage_account_login_security
Where is the sign out button on the Amazon website?,sign_out_of_your_amazon_account_on_the_amazon_website_001,manage_account_profiles_devices
What happens to my Kindle books if I close my account?,what_happens_when_i_close_my_account_001,manage_account_closure
How do I use Login with Amazon on other websites?,use_login_with_amazon_001,manage_account_profiles_devices
How do I manage the apps that have access to my Amazon data?,manage_thirdparty_apps_and_services_with_data_access_th_001,manage_account_general_settings
What happens to my gift card balance if I delete my account?,what_happens_when_i_close_my_account_003,manage_account_closure
How long do I usually have to return something on Amazon?,amz_ret_003,refund_returns_eligibility
Can I return an item after 30 days?,amz_ret_001,refund_returns_eligibility
How do I check my remaining promotional credit balance?,check_your_credit_and_benefit_balances_001,refund_credits_balances
When will Amazon issue my refund after I send the item back?,amz_ret_002,refund_returns_eligibility
Are personalized products refundable?,amz_ret_008,refund_returns_eligibility
Do opened video games have restocking fees?,amz_fee_004,refund_restocking_fees
Can Amazon reduce my refund if the product is damaged?,amz_fee_003,refund_restocking_fees
I accidentally bought a Kindle book. Can I return it?,amz_ret_004,refund_returns_eligibility
How do I begin a return request on Amazon?,amz_ret_010,refund_returns_eligibility
Can I put items from different orders into the same return box?,amz_ret_012,refund_returns_eligibility
Why was my payment declined on Amazon?,resolve_a_declined_payment_001,payment_issues_declines_retries
How do I retry my payment on an existing order?,resolve_a_declined_payment_001,payment_issues_declines_retries
How do I check my current Amazon gift card balance?,check_your_gift_card_balance_001,manage_account_profiles_devices
Why does my bank statement show an unknown charge from Amazon?,unknown_amazon_payment_charges_001,payment_issues_unknown_charges
How do I add a new credit card to my wallet?,manage_payment_methods_001,payment_issues_cards_wallet
What is a backup payment method and how does it work?,manage_your_backup_payment_methods_001,payment_issues_cards_wallet
How to update default payment settings on my account?,change_your_default_payment_methods_001,payment_issues_cards_wallet
How do I protect myself from payment scams on Amazon?,avoiding_payment_scams_001,payment_issues_fraud_scams
What is this AMZ Prime descriptor charge on my credit card?,unknown_amazon_payment_charges_002,payment_issues_unknown_charges
How do I delete or update an expired payment card?,manage_payment_methods_001,payment_issues_cards_wallet
Where is my order right now?,track_package_001,delivery_status_tracking_details
What should I do if my Amazon delivery is late?,late_delivery_002,delivery_status_delays
Why are some Amazon deliveries delayed?,late_delivery_003,delivery_status_delays
How do I sign up for shipment updates via text message?,manage_shipment_text_updates_001,delivery_status_alerts
How can I stop receiving shipment updates via SMS for this order?,turn_off_text_updates_001,delivery_status_alerts
What should I check if my package is missing?,missing_package_delivered_002,other_query
How can I turn on push notifications for shipment tracking?,push_notifications_tracking_001,delivery_status_alerts
My tracking info is missing. Why is there no scan?,missing_tracking_information_005,delivery_status_delays
Who delivers my package? How to contact carrier?,missing_package_delivered_007,other_query
My delivery date has passed. What should I do now?,late_delivery_002,delivery_status_delays
How do I cancel my order before it ships?,cancel_items_and_orders_001,modify_order
Can I edit the shipping address of an order I already placed?,change_your_order_information_001,manage_account_profiles_devices
How do I archive an order to hide it from history?,archived_orders_001,manage_account_general_settings
Can I cancel an order that has already shipped?,cancel_items_and_orders_001,modify_order
Where can I view my list of archived orders?,archived_orders_001,manage_account_general_settings
How do I change the delivery speed of an active order?,change_your_order_information_001,manage_account_profiles_devices
How do I remove an item from my order?,cancel_items_and_orders_001,modify_order
Can I unarchive a hidden purchase?,archived_orders_001,manage_account_general_settings
How do I update my order payment method after checkout?,change_your_order_information_001,manage_account_profiles_devices
Is it possible to change order information?,change_your_order_information_001,manage_account_profiles_devices
How do I add a new shipping address to my address book?,add_delete_and_manage_addresses_001,modify_address
How do I delete an old address from my profile?,add_delete_and_manage_addresses_001,modify_address
Can I set a default delivery address for checkout?,add_delete_and_manage_addresses_001,modify_address
How do I edit my saved addresses in my address book?,add_delete_and_manage_addresses_001,modify_address
Where do I manage delivery addresses in my account?,add_delete_and_manage_addresses_001,modify_address
How do I add special delivery instructions to my shipping address?,add_delete_and_manage_addresses_001,modify_address
Can I save multiple shipping addresses under my profile?,add_delete_and_manage_addresses_001,modify_address
How do I remove a secondary shipping address?,add_delete_and_manage_addresses_001,modify_address
How to change default shipping address for future orders?,add_delete_and_manage_addresses_001,modify_address
Where is my address book located in my settings?,add_delete_and_manage_addresses_001,modify_address
How do I contact Amazon Customer Service for help?,support_options_and_customer_service_001,customer_support_contact
How do I submit Power of Attorney documents to manage someone else's account?,power_of_attorneypoa_support_001,customer_support_legal
How do I close the Amazon account of a deceased family member?,bereavement_support_001,customer_support_bereavement
Where do I find the phone number or chat link for support?,support_options_and_customer_service_001,customer_support_contact
What documents do I need to provide for bereavement account requests?,bereavement_support_003,customer_support_bereavement
How do I submit legal POA docs to support?,power_of_attorneypoa_support_001,customer_support_legal
How do I contact Amazon support for estate issues?,bereavement_support_001,customer_support_bereavement
What is the bereavement support email or page?,bereavement_support_001,customer_support_bereavement
How do I open a customer support ticket?,support_options_and_customer_service_001,customer_support_contact
How to reach a live support agent on Amazon?,support_options_and_customer_service_001,customer_support_contact
How do I download or print an invoice for an order?,print_an_invoice_001,billing
Where can I find the official billing receipt for tax purposes?,print_an_invoice_001,billing
How to get a printable PDF invoice of my purchases?,print_an_invoice_001,billing
Where is the print invoice button in my orders?,print_an_invoice_001,billing
How do I get an invoice for my business order?,print_an_invoice_001,billing
Can I get a tax invoice for my recent purchase?,print_an_invoice_001,billing
Where can I see my order receipts?,print_an_invoice_001,billing
How to get printable receipts on Amazon desktop?,print_an_invoice_001,billing
How do I save an invoice PDF to my computer?,print_an_invoice_001,billing
How to request an invoice copy from Amazon?,print_an_invoice_001,billing
Does Amazon send customer satisfaction surveys?,amazon_consumer_surveys_001,customer_feedback
How do I know if an Amazon survey request is real or fake?,amazon_consumer_surveys_001,customer_feedback
Are there rewards for participating in Amazon surveys?,amazon_consumer_surveys_001,customer_feedback
How does chat machine translation work for support?,machine_translation_001,customer_feedback
Can I converse with customer support in my own language?,machine_translation_001,customer_feedback
Why does the agent answer me in translated text?,machine_translation_001,customer_feedback
Are customer satisfaction surveys safe to fill out?,amazon_consumer_surveys_001,customer_feedback
Will support surveys ask for personal billing details?,amazon_consumer_surveys_001,customer_feedback
Where do I report a suspicious survey email?,amazon_consumer_surveys_001,customer_feedback
Are chat agent answers translated automatically?,machine_translation_001,customer_feedback
How do I change my subscription email preferences?,change_your_subscription_email_preferences_001,other_query
How do I opt out of receiving deals by email?,change_your_subscription_email_preferences_001,other_query
Where is the communication preference center for newsletter emails?,change_your_subscription_email_preferences_001,other_query
How do I manage Subscribe & Save email notifications?,change_your_subscription_email_preferences_001,other_query
How do I unsubscribe from the Amazon Delivers email subscription?,change_your_subscription_email_preferences_001,other_query
How do I change my Prime membership email preferences?,change_your_subscription_email_preferences_001,other_query
How long does it take for changes to email subscriptions to take effect?,change_your_subscription_email_preferences_001,other_query
Where do I change my newsletter settings?,change_your_subscription_email_preferences_001,other_query
Can I unsubscribe from newsletter emails online?,change_your_subscription_email_preferences_001,other_query
How do I manage my Subscribe & Save items?,change_your_subscription_email_preferences_001,other_query
